id,rep,plate,abs_649,abs_665,blank_abs_649,blank_abs_665
BLK,1,2,0.046,0.046,-0.001,-0.002
BLK,2,2,0.043,0.042,-0.005,-0.005
BLK,3,2,0.053,0.055,0.006,0.007
SPL32,1,2,0.145,0.3,0.098,0.253
SPL32,2,2,0.136,0.284,0.089,0.236
SPL32,3,2,0.154,0.326,0.107,0.278
SPL33,1,2,0.11,0.21,0.063,0.162
SPL33,2,2,0.112,0.212,0.064,0.164
SPL33,3,2,0.112,0.21,0.065,0.163
SPL34,1,2,0.103,0.184,0.056,0.136
SPL34,2,2,0.098,0.176,0.05,0.128
SPL34,3,2,0.092,0.166,0.045,0.118
SPL35,1,2,0.116,0.224,0.068,0.177
SPL35,2,2,0.146,0.256,0.099,0.209
SPL35,3,2,0.154,0.266,0.107,0.219
SPL36,1,2,0.106,0.194,0.059,0.147
SPL36,2,2,0.114,0.209,0.067,0.161
SPL36,3,2,0.114,0.206,0.067,0.159
SPL37,1,2,0.131,0.253,0.084,0.205
SPL37,2,2,0.138,0.265,0.091,0.217
SPL37,3,2,0.138,0.265,0.09,0.217
SPL38,1,2,0.105,0.192,0.058,0.145
SPL38,2,2,0.114,0.201,0.067,0.154
SPL38,3,2,0.102,0.192,0.055,0.145
SPL39,1,2,0.104,0.19,0.057,0.142
SPL39,2,2,0.107,0.193,0.06,0.145
SPL39,3,2,0.107,0.195,0.06,0.148
SPL40,1,2,0.124,0.241,0.077,0.193
SPL40,2,2,0.121,0.237,0.074,0.189
SPL40,3,2,0.121,0.242,0.074,0.194
SPL41,1,2,0.127,0.247,0.08,0.199
SPL41,2,2,0.123,0.243,0.076,0.196
SPL41,3,2,0.12,0.237,0.073,0.19
SPL42,1,2,0.15,0.298,0.103,0.25
SPL42,2,2,0.159,0.308,0.112,0.26
SPL42,3,2,0.148,0.298,0.101,0.25
SPL43,1,2,0.118,0.216,0.07,0.168
SPL43,2,2,0.123,0.225,0.076,0.177
SPL43,3,2,0.111,0.208,0.064,0.16
SPL44,1,2,0.126,0.246,0.079,0.198
SPL44,2,2,0.124,0.245,0.077,0.197
SPL44,3,2,0.126,0.247,0.079,0.199
SPL45,1,2,0.127,0.248,0.08,0.201
SPL45,2,2,0.129,0.256,0.082,0.208
SPL45,3,2,0.132,0.263,0.085,0.215
SPL46,1,2,0.129,0.256,0.082,0.208
SPL46,2,2,0.131,0.257,0.084,0.209
SPL46,3,2,0.129,0.257,0.082,0.21
SPL47,1,2,0.183,0.363,0.136,0.316
SPL47,2,2,0.164,0.341,0.117,0.293
SPL47,3,2,0.18,0.359,0.133,0.311
SPL48,1,2,0.124,0.257,0.077,0.21
SPL48,2,2,0.125,0.267,0.078,0.22
SPL48,3,2,0.129,0.266,0.082,0.218
