SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
13,11:26:20,2022-12-27,Auto gsw+F,LI-COR Default,,013,,,0.733194,2.922294,0.586134,7.056530,1.597075,1.420356,2.660590,1.063515,15.700227,17.653627,29.409426,0.441786,PSF-00438_20221227112620,0.000000,0.000000,0.000000,93.870880,385.089081,0.756236,0.5,0.80,120.966293,44.00,39.13,27.24,22.04,90.47,156.8,153.8,1.9,400,4.046,11:18:18,2022-12-27,0.17,0.005,0.003,0.017,-1.253,-0.129,0.693,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,366.436615,25,-12.838457,370.115875,366.736603,3.379272,2.452387,2.472888,1.656113,0.930712,0.249462,-0.058343,0.245427,0.467035,93.870880,0.000240,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112620,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
14,11:26:38,2022-12-27,Auto gsw+F,LI-COR Default,,014,,,0.059249,2.921634,0.058071,1.260419,1.457729,1.426100,3.368816,1.911087,15.764456,16.114098,37.239716,0.441786,PSF-00438_20221227112638,0.000000,0.000000,0.000000,104.560020,344.926941,0.696863,0.5,0.80,112.990311,40.07,39.20,27.28,25.97,90.46,156.7,155.4,0.8,405,4.045,11:18:18,2022-12-27,0.17,-0.000,-0.001,-9999.000,-3.291,0.246,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,330.625885,25,-9.851201,331.006042,330.844727,0.161316,2.452482,2.467509,1.655422,0.934650,0.249104,-0.014752,0.247063,0.471944,104.560020,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112638,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
15,11:26:58,2022-12-27,Auto gsw+F,LI-COR Default,,015,,,0.060636,2.921828,0.059403,1.449522,1.441261,1.404886,3.587298,2.146037,15.530296,15.932407,39.655746,0.441786,PSF-00438_20221227112658,0.000000,0.000000,0.000000,94.166275,362.772766,0.740426,0.5,0.80,110.223816,39.50,38.50,27.33,27.04,90.46,156.7,155.8,0.6,372,4.045,11:18:18,2022-12-27,0.17,-0.000,-0.001,-9999.000,1.158,-0.273,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,345.860474,25,-11.675632,352.571716,346.082550,6.489166,2.451504,2.466701,1.655625,0.935779,0.248574,-0.003105,0.248807,0.442087,94.166275,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112658,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
16,11:27:22,2022-12-27,Auto gsw+F,LI-COR Default,,016,,,0.498272,2.922054,0.425684,6.627388,1.476648,1.310434,2.851300,1.374652,14.486462,16.323900,31.520269,0.441786,PSF-00438_20221227112722,0.000000,0.000000,0.000000,94.074013,375.675659,0.749587,0.5,0.80,108.114037,40.32,35.78,27.39,23.18,90.46,156.7,156.3,0.3,361,4.043,11:18:18,2022-12-27,0.17,0.000,0.003,0.014,-0.347,-0.857,-0.109,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,353.207245,25,-15.426561,355.365143,353.623535,1.741608,2.447731,2.467825,1.655861,0.937107,0.247967,-0.047511,0.250892,0.431666,94.074013,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112722,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
17,11:27:52,2022-12-27,Auto gsw+F,LI-COR Default,,017,,,1.590135,2.921710,1.029715,11.617878,1.599949,1.308888,2.596929,0.996981,14.468808,17.686268,28.707167,0.441786,PSF-00438_20221227112752,0.000000,0.000000,0.000000,97.231865,376.452148,0.741715,0.5,0.80,95.055664,43.57,35.64,27.44,21.65,90.46,156.7,148.8,5.0,320,4.043,11:18:18,2022-12-27,0.17,0.015,0.005,0.043,0.262,0.309,-1.875,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,360.028625,25,-11.354854,361.690521,360.220490,1.470032,2.447527,2.472260,1.655502,0.918056,0.247507,-0.064977,0.253560,0.395515,97.231865,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112752,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
18,11:28:15,2022-12-27,Auto gsw+F,LI-COR Default,,018,,,0.853896,2.922533,0.660820,7.603856,1.577433,1.387020,2.594311,1.016878,15.333224,17.438200,28.679571,0.441786,PSF-00438_20221227112815,0.000000,0.000000,0.000000,98.278999,391.777191,0.749146,0.5,0.80,98.866112,42.89,37.71,27.46,21.63,90.46,156.8,152.9,2.5,330,4.041,11:18:18,2022-12-27,0.17,-0.006,-0.003,0.034,-0.295,1.421,0.170,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,377.623199,25,-9.772829,380.016449,377.807007,2.209442,2.450392,2.471329,1.656363,0.928344,0.247251,-0.065459,0.255539,0.404095,98.278999,0.000242,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112815,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
19,11:28:49,2022-12-27,Auto gsw+F,LI-COR Default,,019,,,1.045236,2.921602,0.769823,9.008066,1.558395,1.332610,2.592577,1.034183,14.732131,17.228207,28.661200,0.441786,PSF-00438_20221227112849,0.000000,0.000000,0.000000,95.622185,387.042542,0.752941,0.5,0.80,105.619080,42.24,36.12,27.52,21.62,90.46,156.7,151.3,3.4,351,4.041,11:28:32,2022-12-27,-0.13,0.003,0.002,0.014,4.888,-0.573,0.548,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,363.106720,25,-16.932037,363.760834,362.838348,0.922485,2.448182,2.470849,1.655388,0.924317,0.246744,-0.066177,0.258599,0.422769,95.622185,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112849,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
20,11:29:14,2022-12-27,Auto gsw+F,LI-COR Default,,020,,,1.479461,2.923234,0.982310,10.389274,1.675852,1.416137,2.609850,0.933998,15.656096,18.527374,28.853188,0.441786,PSF-00438_20221227112914,0.000000,0.000000,0.000000,97.504738,407.885406,0.760951,0.5,0.80,88.353256,45.37,38.34,27.54,21.73,90.45,156.9,150.1,4.3,290,4.039,11:28:32,2022-12-27,-0.13,0.006,-0.001,0.025,1.959,0.041,0.570,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,397.628540,25,-6.980592,401.912933,397.906708,4.006226,2.451246,2.475093,1.657100,0.921421,0.246546,-0.065225,0.260848,0.368421,97.504738,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112914,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
21,11:29:41,2022-12-27,Auto gsw+F,LI-COR Default,,021,,,1.184135,2.921472,0.842608,9.067935,1.643666,1.416583,2.594291,0.950626,15.661027,18.171539,28.681177,0.441786,PSF-00438_20221227112941,0.000000,0.000000,0.000000,96.533417,379.738739,0.745790,0.5,0.80,97.781517,44.47,38.33,27.55,21.63,90.45,156.7,150.7,3.8,328,4.039,11:28:32,2022-12-27,-0.13,0.004,-0.003,0.007,-0.595,-0.103,0.123,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,361.955536,25,-12.196898,365.994202,362.303375,3.690826,2.451228,2.473876,1.655252,0.922754,0.246444,-0.066414,0.263162,0.402160,96.533417,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227112941,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
22,11:30:04,2022-12-27,Auto gsw+F,LI-COR Default,,022,,,0.705233,2.922420,0.568132,6.882959,1.539589,1.367149,2.610305,1.070715,15.114347,17.020737,28.857895,0.441786,PSF-00438_20221227113004,0.000000,0.000000,0.000000,104.013565,390.425934,0.733589,0.5,0.80,105.695374,41.65,36.98,27.55,21.73,90.45,156.8,152.5,2.7,360,4.039,11:28:32,2022-12-27,-0.13,-0.004,-0.003,0.009,-1.623,0.339,1.062,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,369.346619,25,-15.481240,369.880554,368.295624,1.584930,2.449368,2.470026,1.656245,0.927333,0.246398,-0.065369,0.265215,0.431325,104.013565,0.000241,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227113004,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
23,11:30:28,2022-12-27,Auto gsw+F,LI-COR Default,,023,,,1.295229,2.922656,0.897490,9.499438,1.583861,1.346056,2.519459,0.935598,14.882548,17.511824,27.856178,0.441786,PSF-00438_20221227113028,0.000000,0.000000,0.000000,112.347366,420.835052,0.733037,0.5,0.80,92.482300,42.85,36.42,27.55,21.15,90.45,156.8,154.1,1.7,315,4.038,11:28:32,2022-12-27,-0.13,0.004,0.005,0.017,-0.524,0.709,-0.941,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,388.048767,25,-27.386520,374.282959,381.686249,-7.403290,2.448590,2.471677,1.656493,0.931393,0.246440,-0.071623,0.267249,0.391032,112.347366,0.000246,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227113028,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
24,11:30:50,2022-12-27,Auto gsw+F,LI-COR Default,,024,,,0.506998,2.922674,0.432050,5.469164,1.478367,1.341289,2.597519,1.119151,14.829398,16.344942,28.718365,0.441786,PSF-00438_20221227113050,0.000000,0.000000,0.000000,97.951057,404.354614,0.757760,0.5,0.80,92.696716,39.99,36.28,27.55,21.65,90.45,156.8,153.9,1.9,306,4.038,11:28:32,2022-12-27,-0.13,-0.007,-0.004,-9999.000,-1.380,-1.446,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,387.789490,25,-11.427758,389.081970,388.018738,1.063232,2.448394,2.467749,1.656511,0.930904,0.246387,-0.066260,0.269202,0.382411,97.951057,0.000243,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227113050,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
25,11:31:18,2022-12-27,Auto gsw+F,LI-COR Default,,025,,,0.111706,2.921028,0.107591,2.420124,1.438730,1.377959,3.418839,1.980109,15.233048,15.904857,37.794552,0.441786,PSF-00438_20221227113118,0.000000,0.000000,0.000000,108.771805,302.221741,0.640093,0.5,0.80,169.628983,38.89,37.25,27.56,26.22,90.46,156.6,154.8,1.1,663,4.036,11:28:32,2022-12-27,-0.13,0.001,-0.000,-9999.000,0.948,1.029,-9999.000,1,150,0.005,2.000000,0,mpf,7000,500,5.000000,2.000000,300,300,300,285.044434,25,-11.925330,285.075897,285.174591,-0.098694,2.449730,2.466228,1.654787,0.933287,0.246270,-0.015253,0.271585,0.703281,108.771805,0.000244,2.388960,-0.000025,1.000000,2.402765,-0.000034,1.000000,0.600816,0.600971,0.107301,0.000000,PSF-00438_20221227113118,PFA-00474,PSA-00486,PSF-00438,RHS-00603,2.0.0,2021-01-19T12:57:14.097Z
